Shelf No.	Loc.ID	Name	Size	UOM	UPC-Barcode	Stockcode	Facings
Shelf 6	53	STARBUCKS FRAPPUCCINO CARAMEL 	13.70	OZ	U(a12000*KLQRMl(V	PEPSI	1
Shelf 6	54	NT KG CAPP DOUBLE SHOT FR VANILLA PINT 	16.00	OZ	U(a39779*LKTTTr(w	921655	1
Shelf 6	55	KARUBA GOLD CAPPUCCINO WHITE CHOCOLATE ... 	16.00	OZ	U(a39779*KKKSOn(X	921034	1
Shelf 6	56	KARUBA GOLD MOCHA CAPPUCCINO 	16.00	OZ	U(a39779*LLMRQs(x	111216	1
Shelf 6	57	CHINO ICED CAPP FVAN 	16.00	OZ	U(a39779*LLLKKq(v	111005	1
Shelf 7	58	MUSCLE MILK PRO 40 KNOCKOUT CHOCOLATE 	14.00	OZ	x(i76063*KKMSKq(v	PEPSI	1
Shelf 7	59	MUSCLE MILK PRO SERIES INTENSE VANILLA 	14.00	OZ	x(i76063*KKMSLn(X	PEPSI	1
Shelf 7	60	MUSCLE MILK CHOCOLATE 	14.00	OZ	x(i76063*KKMKLl(V	PEPSI	1
Shelf 7	61	MUSCLE MILK VANILLA CRÈME 	14.00	OZ	x(i76063*KKMKMs(x	PEPSI	1
Shelf 7	62	STARBUCKS TRIPLE SHOT ENERGY EXT ST CAFFE ... 	15.00	OZ	U(a12000*LSLMTk(U	PEPSI	1
Shelf 7	63	STARBUCKS TRIPLE SHOT ENERGY EXT ST FR VA... 	15.00	OZ	U(a12000*LSLNLn(X	PEPSI	1
Shelf 7	64	BLACK STAG ICED LATTE CARAMEL 13.7 OZ 	13.70	OZ	x(i11130*KNKLSo(Y	926058	1
Shelf 7	65	BLACK STAG ESPRESSO WITH CREAM 6.5 OZ 	6.50	OZ	x(i11130*KNKSNm(W	926056	1
Shelf 7	66	BLACK STAG ICED LATTE MOCHA ENERGY 15 OZ 	15.00	OZ	x(i11130*KNKQSt(y	926057	1
Shelf 7	67	BLACK STAG ICED LATTE VANILLA ENERGY 15 OZ 	15.00	OZ	x(i11130*KNKQRm(W	926055	1
Shelf 8	68	EGGS LARGE DOZEN 	1.00	DZ	U(a39779*KMKKOt(y	20040	7
Shelf 9	69	PATRICK CUDAHY THICK SLICED BACON 	16.00	OZ	U(a43200*QLOKMs(x	499509	1
Shelf 9	70	NATURES TOUCH ORGANIC LARGE EGGS 	12.00	CT	U(a39779*KKKMTo(Y	920641	1
Shelf 9	70	NATURES TOUCH ORGANIC LARGE EGGS 	12.00	CT	U(a39779*KKKMTo(Y	920641	1
Shelf 10	71	KITCHEN CRAVINGS SLICED BACON 	12.00	OZ	U(a39779*OTTPSq(v	499482	1
Shelf 10	72	FARMLAND DICED HAM 16 OZ 	1.00	CT	U(a70247*SLSTMs(x	928647	1
Shelf 10	73	RESER'S HASH BROWNS 	20.00	OZ	U(a71117*LOOMNt(y	180428	1
Shelf 11	74	BLUE BONNET MARGARINE QTR 	16.00	OZ	U(a29000*KKSMMt(y	20150	1
Shelf 11	75	FORMOST UNSALTED BUTTER QUARTERS 	4.00	CT	x(i07713*NKKRQs(x	922287	1
